 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901   158.1   132.2   246.9   261.5   229.3   185.1    60.7    69.4   163.4   327.0   224.2   169.2   737.7   315.3   714.6   479.5  2227.0
 1902   176.1   134.2   199.4   236.1   266.1    95.0    63.8   152.7   180.6   327.1   239.4   187.1   701.6   311.4   747.1   478.0  2257.7
 1903   142.1   148.8   195.0   234.9   187.1    78.7    95.8   130.9   155.1   336.6   218.4   202.5   617.0   305.4   710.1   452.8  2126.0
 1904   150.0   100.3   214.1   214.6   256.0   114.7    83.8    94.8   137.3   306.6   244.1   171.5   684.7   293.4   687.9   471.5  2087.8
 1905   155.5   144.5   187.3   201.4   302.9    77.7    47.6    78.8   181.2   313.0   269.8   214.0   691.6   204.1   764.0   518.8  2173.6
 1906   146.4   158.4   178.6   203.7   172.0    74.6    48.1    71.3   143.0   275.9   246.2   181.7   554.3   194.0   665.1   515.6  1899.8
 1907   158.3   175.6   185.4   247.4   206.4    73.5    45.6    77.0   130.2   301.3   241.2   134.4   639.2   196.1   672.7   397.0  1976.2
 1908   149.7   113.0   239.3   275.3   164.1    80.3    54.1   242.2   163.7   336.6   255.4   170.4   678.7   376.6   755.6   458.8  2243.9
 1909   142.2   146.2   225.8   223.2   252.4    93.8    60.2   148.5   235.5   340.3   246.0   192.1   701.3   302.4   821.8   439.3  2306.0
 1910   143.0   104.2   193.8   245.1   326.4   216.0    45.4    82.3   309.8   328.9   244.3   144.9   765.3   343.8   883.0   381.5  2384.2
 1911   132.2   104.5   178.3   228.0   191.4    74.4    47.4   101.8   127.7   256.0   241.5   178.0   597.8   223.6   625.2   503.1  1861.3
 1912   194.5   130.6   181.1   250.4   246.2   138.1    69.0   247.7   193.1   370.2   237.7   146.3   677.7   454.7   801.0   414.8  2404.7
 1913   110.9   157.5   183.5   217.8   286.8   150.4    46.4    63.6   114.8   257.9   204.4   125.5   688.1   260.4   577.2   444.7  1919.6
 1914   153.8   165.4   195.0   244.2   150.8    93.6    42.4    77.4   183.7   281.6   255.2   184.4   590.0   213.4   720.5   453.8  2027.5
 1915   143.4   126.0   204.0   228.7   243.5   107.8    72.2    97.2   180.1   340.7   266.7   181.6   676.2   277.2   787.4   459.5  2191.8
 1916   148.4   129.5   202.3   230.7   238.8   108.8    71.9    95.4   178.7   339.3   261.1   183.9   671.9   276.2   779.1   460.7  2189.0
 1917   145.3   131.5   194.9   225.0   227.3   107.5    70.1    98.9   177.8   337.7   267.7   186.9   647.3   276.5   783.2   462.6  2170.7
 1918   150.3   125.5   197.3   229.4   227.7   106.5    72.2    98.4   179.3   335.9   258.1   174.1   654.4   277.0   773.3   449.9  2154.7
 1919   145.8   130.0   195.4   228.1   235.2   105.5    70.4    95.9   180.1   329.8   261.3   174.7   658.6   271.9   771.2   449.5  2152.2
 1920   150.9   123.9   193.2   236.4   231.2   109.9    69.3    99.4   178.3   331.8   258.6   177.7   660.9   278.7   768.6   451.1  2160.6
 1921   149.5   123.9   203.0   229.1   234.8   107.4    69.3    97.6   177.8   329.3   262.8   191.2   666.9   274.4   769.9   469.6  2175.7
 1922   147.4   131.1   196.8   228.4   234.0   109.1    68.8    98.0   179.8   335.6   260.5   185.1   659.2   275.9   775.9   462.1  2174.5
 1923   149.4   127.6   192.9   228.0   229.9   107.5    68.5    98.5   184.3   338.7   257.8   178.5   650.8   274.6   780.8   472.6  2161.8
 1924   163.4   130.7   203.1   233.6   232.2   105.5    69.0    95.7   174.9   338.2   267.9   188.2   669.0   270.2   781.0   453.2  2202.3
 1925   139.8   125.2   195.7   228.1   232.1   110.0    69.2   100.7   176.9   333.8   260.6   184.4   655.9   279.9   771.4   459.7  2156.6
 1926   145.4   129.8   203.3   241.6   238.0   109.2    68.8    98.0   177.0   339.6   277.8   181.7   682.9   275.9   794.4   473.4  2210.2
 1927   151.7   139.9   191.6   236.5   238.3   122.4    78.9    97.6   173.4   341.1   253.8   189.6   666.4   298.8   768.3   491.4  2214.8
 1928   172.6   129.2   202.0   233.1   242.2   117.4    69.9    99.4   189.2   346.2   261.1   198.0   677.3   286.7   796.5   476.0  2260.3
 1929   140.4   137.6   208.5   234.3   241.8   109.8    67.8   105.7   179.1   344.7   258.6   190.9   684.5   283.2   782.4   471.5  2219.1
 1930   153.5   127.2   204.3   239.6   235.0   112.8    65.0    96.4   185.8   339.2   256.2   186.3   678.9   274.2   781.2   455.7  2201.1
 1931   145.0   124.5   195.4   243.0   236.5   122.1    67.8    97.0   178.9   340.4   264.6   184.3   674.8   286.9   783.9   456.3  2199.3
 1932   145.0   127.0   199.3   225.9   234.7   110.6    68.8    96.4   176.2   334.3   259.5   178.2   659.9   275.8   770.0   505.6  2155.9
 1933   165.9   161.5   262.8   220.2   220.2    59.3    43.5    55.4   151.0   452.3   280.9   181.9   703.2   158.2   884.1   406.2  2254.9
 1934   129.0    95.3   204.6   244.2   310.2   366.3    75.3    62.7   191.2   522.2   284.0   187.2   758.9   504.4   997.4   474.1  2672.2
 1935   124.9   162.1   238.1   309.6   225.8    68.4    39.5    67.7   323.4   438.7   213.9   187.5   773.5   175.6   976.0   422.8  2399.5
 1936   122.1   113.2   190.4   252.4   216.3    72.5    39.0    76.1   176.3   314.3   189.9   188.9   659.1   187.5   680.5   477.0  1951.2
