 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    24.3    24.7    24.1    24.8    23.7    22.5    22.0    21.7    22.3    23.3    23.9    24.2    24.2    22.1    23.1    24.3    23.5
 1902    24.6    24.2    24.6    24.5    24.4    23.0    21.9    22.6    23.0    23.3    23.9    24.2    24.5    22.5    23.4    24.8    23.7
 1903    25.0    25.1    25.1    24.8    24.2    22.4    22.1    22.5    23.3    23.3    23.9    24.2    24.7    22.3    23.5    24.4    23.8
 1904    24.6    24.4    24.2    24.5    24.0    22.8    21.5    21.7    23.3    23.3    23.9    24.2    24.2    22.0    23.5    24.8    23.5
 1905    25.0    25.3    25.5    25.5    24.8    22.7    21.8    22.7    22.7    23.3    23.9    24.2    25.3    22.4    23.3    24.5    23.9
 1906    24.4    24.8    25.5    25.7    24.2    22.9    22.2    22.3    23.3    23.3    23.9    24.2    25.1    22.5    23.5    24.5    23.9
 1907    24.2    25.0    25.1    25.0    24.5    22.9    23.1    22.9    23.2    23.3    23.9    24.2    24.9    23.0    23.4    24.3    23.9
 1908    24.2    24.4    24.9    25.0    24.4    21.9    22.1    21.2    22.6    23.3    23.9    24.2    24.8    21.8    23.3    24.6    23.5
 1909    24.6    25.0    25.2    25.5    24.4    23.9    23.2    22.2    23.6    23.3    23.9    24.2    25.0    23.1    23.6    24.1    24.1
 1910    24.0    24.1    24.1    24.0    23.8    23.6    22.7    22.2    22.5    23.3    23.1    23.8    24.0    22.8    23.0    24.1    23.4
 1911    24.1    24.5    25.3    25.1    24.7    23.4    22.7    22.5    23.0    23.3    23.9    24.2    25.0    22.9    23.4    24.9    23.9
 1912    24.7    25.7    25.9    25.8    24.9    23.6    22.0    22.3    22.7    22.9    23.1    24.1    25.5    22.6    22.9    24.2    24.0
 1913    24.3    24.2    24.5    24.6    24.0    22.3    21.9    22.4    22.6    23.3    23.9    24.2    24.4    22.2    23.3    24.8    23.5
